f1	f2	class label
5.91	3.09	1
6.94	2.39	1
5.73	2.75	1
6.14	3.32	1
5.42	2.93	1
5.03	2.84	1
5.38	3.16	1
6.77	2.66	1
6.7	3.44	1
6.73	3.33	1
5.83	2.87	1
6.02	3.38	1
7.33	3.09	1
5.87	2.81	1
6.41	3.1	1
6.38	2.61	1
7.39	3.05	1
6.16	3.46	1
6.59	2.84	1
6.76	2.82	1
7.07	2.76	1
6.58	3.12	1
5.46	2.41	1
6.02	2.93	1
6.28	2.83	1
7.4	3	1
6.24	2.93	1
6.62	2.54	1
5.77	2.52	1
6.72	2.74	1
6.85	3.01	1
6.16	3.1	1
6.45	3.07	1
6.66	3.13	1
5.86	3.23	1
5.99	3.53	1
6.09	2.68	1
5.37	3.19	1
5.42	3.38	1
6.84	3.13	1
6.56	3.04	1
6.56	2.95	1
6.05	3.32	1
7.53	3.17	1
6	2.34	1
6.96	2.91	1
6.35	2.93	1
7.07	2.73	1
6.06	3.17	1
5.26	2.96	1
6.31	2.59	1
6.73	2.62	1
6.71	2.89	1
5.77	2.6	1
6.25	2.89	1
7.13	2.74	1
6.9	2.95	1
5.33	2.72	1
6.44	2.94	1
6.83	2.56	1
5.81	3.36	1
7.56	3.14	1
6.72	3.42	1
6.07	3.08	1
6.24	3	1
6.31	2.79	1
6.31	2.82	1
7.29	3.15	1
6.07	2.87	1
6.49	3.04	1
6.64	2.88	1
5.85	3.39	1
6.51	2.89	1
6.14	2.61	1
6.55	2.22	1
6.58	3.14	1
5.6	2.81	1
5.77	3.09	1
7.53	2.24	1
6.72	2.02	1
6.5	3.06	1
5.9	2.51	1
6.11	3.04	1
6.93	2.35	1
6.2	2.79	1
6.76	3.04	1
6.29	2.49	1
6.17	3.65	1
6.88	2.65	1
5.86	3.64	1
6.02	1.87	1
7.1	3.49	1
5.67	2.99	1
5.65	2.89	1
5.9	3.27	1
5.7	3.34	1
6.76	2.75	1
6.61	2.6	1
6.55	2.64	1
6.58	2.96	1
7.47	2.94	2
6.11	3.44	2
6.23	2.9	2
6.16	3.41	2
6.21	2.26	2
6.57	3.49	2
5.81	2.94	2
5.88	2.49	2
7.61	2.75	2
6.77	2.92	2
6.69	3.01	2
7.53	2.74	2
6.29	3.22	2
5.38	2.95	2
5.35	2.76	2
5.94	3.02	2
7.77	2.64	2
6.31	2.43	2
7.28	3.24	2
5.87	2.44	2
7.01	3.02	2
6.21	3.25	2
6.35	3.16	2
5.52	2.63	2
6.69	2.72	2
6.51	2.97	2
7.14	3	2
7.21	2.9	2
5.47	3.32	2
7.74	2.41	2
6.38	2.44	2
6.67	2.99	2
6.52	2.33	2
6.62	3.27	2
6.24	3.06	2
6.72	3.18	2
7.46	3.17	2
6.77	2.56	2
6.4	2.97	2
6.52	2.74	2
7.62	3.25	2
6.35	2.52	2
6.6	2.79	2
7.32	3.67	2
7	2.84	2
7.55	3.08	2
5.51	2.4	2
6.92	3.04	2
7.15	2.54	2
6.53	3.06	2
6.23	3.15	2
5.81	3.14	2
6.53	2.77	2
6.93	3.25	2
7.09	2.89	2
7.06	2.83	2
5.77	3.18	2
7	3.5	2
6.54	2.63	2
6.88	3.03	2
6.45	2.71	2
5.77	2.93	2
6.84	2.7	2
8.07	2.39	2
6.52	2.58	2
7.94	3.17	2
5.75	2.18	2
7.04	2.71	2
6.51	2.86	2
7.16	2.98	2
6.83	2.59	2
6.04	3.21	2
6.3	3.34	2
6.26	2.72	2
5.92	2.9	2
7.28	3.22	2
5.59	2.99	2
6.66	2.83	2
6.34	3.25	2
6.45	2.77	2
5.33	2.98	2
6.84	2.44	2
6.76	2.38	2
6.1	2.72	2
6.73	2.86	2
6.25	3.08	2
6.9	3.29	2
6.49	2.78	2
5.76	2.79	2
6.84	2.93	2
6.95	3.27	2
6.08	2.85	2
6.9	3.14	2
6.55	3.14	2
7.01	2.93	2
6.64	2.96	2
6.85	2.81	2
7.05	2.34	2
7.58	2.32	2
7.04	3.57	2
