f1	f2	f4	class label
5.91	3.09	1.17	1
6.94	2.39	1.02	1
5.73	2.75	1.02	1
6.14	3.32	1.24	1
5.42	2.93	1.37	1
5.03	2.84	1.02	1
5.38	3.16	1.52	1
6.77	2.66	0.95	1
6.7	3.44	1.68	1
6.73	3.33	1.32	1
5.83	2.87	0.71	1
6.02	3.38	1.33	1
7.33	3.09	1.32	1
5.87	2.81	1.39	1
6.41	3.1	1	1
6.38	2.61	1.39	1
7.39	3.05	1.07	1
6.16	3.46	1.59	1
6.59	2.84	1.4	1
6.76	2.82	1.34	1
7.07	2.76	1.34	1
6.58	3.12	1.02	1
5.46	2.41	1.05	1
6.02	2.93	1.54	1
6.28	2.83	1.34	1
7.4	3	1.48	1
6.24	2.93	1.02	1
6.62	2.54	1.31	1
5.77	2.52	1.3	1
6.72	2.74	1.07	1
6.85	3.01	1.15	1
6.16	3.1	1.36	1
6.45	3.07	1.46	1
6.66	3.13	0.93	1
5.86	3.23	1.49	1
5.99	3.53	1.25	1
6.09	2.68	1.23	1
5.37	3.19	1.38	1
5.42	3.38	1.25	1
6.84	3.13	1.39	1
6.56	3.04	1.26	1
6.56	2.95	1.27	1
6.05	3.32	1.35	1
7.53	3.17	1.34	1
6	2.34	1.37	1
6.96	2.91	1.21	1
6.35	2.93	1.2	1
7.07	2.73	1.42	1
6.06	3.17	1.35	1
5.26	2.96	1.46	1
6.31	2.59	1.48	1
6.73	2.62	1.16	1
6.71	2.89	1.07	1
5.77	2.6	1.67	1
6.25	2.89	1.28	1
7.13	2.74	0.92	1
6.9	2.95	1.38	1
5.33	2.72	1.35	1
6.44	2.94	1.08	1
6.83	2.56	0.98	1
5.81	3.36	1.34	1
7.56	3.14	1.13	1
6.72	3.42	1.61	1
6.07	3.08	1.25	1
6.24	3	1.34	1
6.31	2.79	1.48	1
6.31	2.82	1.22	1
7.29	3.15	1.24	1
6.07	2.87	1.41	1
6.49	3.04	0.89	1
6.64	2.88	1.34	1
5.85	3.39	1.33	1
6.51	2.89	1.55	1
6.14	2.61	1.23	1
6.55	2.22	1.3	1
6.58	3.14	1.25	1
5.6	2.81	0.89	1
5.77	3.09	1.37	1
7.53	2.24	1.21	1
6.72	2.02	1.49	1
6.5	3.06	1	1
5.9	2.51	1.33	1
6.11	3.04	1.41	1
6.93	2.35	1.09	1
6.2	2.79	1.24	1
6.76	3.04	1.59	1
6.29	2.49	1.52	1
6.17	3.65	1.13	1
6.88	2.65	1.29	1
5.86	3.64	1.25	1
6.02	1.87	1.52	1
7.1	3.49	1.47	1
5.67	2.99	1.45	1
5.65	2.89	1.49	1
5.9	3.27	1.61	1
5.7	3.34	1.59	1
6.76	2.75	1.5	1
6.61	2.6	1.68	1
6.55	2.64	1.26	1
6.58	2.96	1.38	1
7.47	2.94	2.01	2
6.11	3.44	2.35	2
6.23	2.9	2.12	2
6.16	3.41	2.35	2
6.21	2.26	2.15	2
6.57	3.49	2.1	2
5.81	2.94	1.87	2
5.88	2.49	2.05	2
7.61	2.75	2.24	2
6.77	2.92	1.96	2
6.69	3.01	2.43	2
7.53	2.74	2.17	2
6.29	3.22	1.59	2
5.38	2.95	2.2	2
5.35	2.76	2.72	2
5.94	3.02	2.32	2
7.77	2.64	2.36	2
6.31	2.43	1.41	2
7.28	3.24	2.19	2
5.87	2.44	2.33	2
7.01	3.02	2.24	2
6.21	3.25	2.28	2
6.35	3.16	1.66	2
5.52	2.63	1.95	2
6.69	2.72	1.83	2
6.51	2.97	1.87	2
7.14	3	1.81	2
7.21	2.9	2.04	2
5.47	3.32	2.02	2
7.74	2.41	2.13	2
6.38	2.44	2.12	2
6.67	2.99	1.87	2
6.52	2.33	2.21	2
6.62	3.27	1.82	2
6.24	3.06	2.48	2
6.72	3.18	2.15	2
7.46	3.17	1.67	2
6.77	2.56	2.11	2
6.4	2.97	1.88	2
6.52	2.74	2.13	2
7.62	3.25	2.16	2
6.35	2.52	2.54	2
6.6	2.79	2.02	2
7.32	3.67	2.1	2
7	2.84	1.84	2
7.55	3.08	2.37	2
5.51	2.4	1.96	2
6.92	3.04	2.1	2
7.15	2.54	2.24	2
6.53	3.06	2.28	2
6.23	3.15	1.77	2
5.81	3.14	2.01	2
6.53	2.77	2.03	2
6.93	3.25	2.58	2
7.09	2.89	2.09	2
7.06	2.83	2	2
5.77	3.18	2.3	2
7	3.5	1.79	2
6.54	2.63	1.71	2
6.88	3.03	2.17	2
6.45	2.71	1.6	2
5.77	2.93	1.82	2
6.84	2.7	2.17	2
8.07	2.39	2.26	2
6.52	2.58	1.83	2
7.94	3.17	1.98	2
5.75	2.18	2.42	2
7.04	2.71	2.29	2
6.51	2.86	2.23	2
7.16	2.98	1.99	2
6.83	2.59	2.35	2
6.04	3.21	2.25	2
6.3	3.34	2.22	2
6.26	2.72	1.64	2
5.92	2.9	2	2
7.28	3.22	1.74	2
5.59	2.99	1.9	2
6.66	2.83	1.9	2
6.34	3.25	2.26	2
6.45	2.77	2.04	2
5.33	2.98	2.27	2
6.84	2.44	2.08	2
6.76	2.38	2.06	2
6.1	2.72	1.37	2
6.73	2.86	1.83	2
6.25	3.08	2.59	2
6.9	3.29	2.01	2
6.49	2.78	1.83	2
5.76	2.79	1.89	2
6.84	2.93	1.48	2
6.95	3.27	2.17	2
6.08	2.85	1.78	2
6.9	3.14	1.99	2
6.55	3.14	2.33	2
7.01	2.93	2.43	2
6.64	2.96	1.53	2
6.85	2.81	2.47	2
7.05	2.34	2.3	2
7.58	2.32	1.69	2
7.04	3.57	1.26	2
