f1	f3	class label
5.91	3.74	1
6.94	3.95	1
5.73	4.64	1
6.14	3.67	1
5.42	3.85	1
5.03	3.49	1
5.38	4.11	1
6.77	4.16	1
6.7	4.39	1
6.73	4.13	1
5.83	4.71	1
6.02	4.7	1
7.33	3.77	1
5.87	4.42	1
6.41	3.53	1
6.38	4.19	1
7.39	4.21	1
6.16	4.15	1
6.59	4.39	1
6.76	4.12	1
7.07	4.63	1
6.58	4.24	1
5.46	3.88	1
6.02	4.2	1
6.28	4.37	1
7.4	4.62	1
6.24	4	1
6.62	3.57	1
5.77	4.91	1
6.72	3.47	1
6.85	4.66	1
6.16	3.78	1
6.45	4.53	1
6.66	3.54	1
5.86	4.27	1
5.99	3.71	1
6.09	4.11	1
5.37	4.29	1
5.42	4.19	1
6.84	4	1
6.56	4.77	1
6.56	4.31	1
6.05	4.36	1
7.53	4.48	1
6	3.4	1
6.96	4.36	1
6.35	4.29	1
7.07	4.71	1
6.06	4.47	1
5.26	3.67	1
6.31	4.2	1
6.73	4.06	1
6.71	4.53	1
5.77	4.09	1
6.25	4.22	1
7.13	3.94	1
6.9	4.29	1
5.33	4.35	1
6.44	4.58	1
6.83	4.24	1
5.81	4.01	1
7.56	4.68	1
6.72	5.1	1
6.07	4.43	1
6.24	4.21	1
6.31	4.89	1
6.31	3.92	1
7.29	3.87	1
6.07	4.14	1
6.49	3.28	1
6.64	4.44	1
5.85	4.38	1
6.51	3.58	1
6.14	4.08	1
6.55	4.64	1
6.58	4.1	1
5.6	4.59	1
5.77	3.93	1
7.53	4.4	1
6.72	4.3	1
6.5	4.17	1
5.9	4.42	1
6.11	4.24	1
6.93	3.58	1
6.2	4.41	1
6.76	4.33	1
6.29	4.25	1
6.17	4.33	1
6.88	4.63	1
5.86	3.49	1
6.02	4.91	1
7.1	4.52	1
5.67	3.93	1
5.65	5.16	1
5.9	4.18	1
5.7	4.1	1
6.76	4.32	1
6.61	3.74	1
6.55	4.33	1
6.58	4.94	1
7.47	5.86	2
6.11	5.82	2
6.23	5.52	2
6.16	5.04	2
6.21	6.06	2
6.57	5.68	2
5.81	4.96	2
5.88	6.09	2
7.61	5.45	2
6.77	5.59	2
6.69	5.39	2
7.53	4.67	2
6.29	5.77	2
5.38	6.23	2
5.35	5.79	2
5.94	6.21	2
7.77	5.78	2
6.31	4.44	2
7.28	5.33	2
5.87	5.54	2
7.01	5.99	2
6.21	6.12	2
6.35	6.1	2
5.52	5.06	2
6.69	5.98	2
6.51	5.68	2
7.14	5.45	2
7.21	5.57	2
5.47	5.22	2
7.74	5.45	2
6.38	5.34	2
6.67	5.77	2
6.52	5.42	2
6.62	5.76	2
6.24	6.03	2
6.72	5.55	2
7.46	4.88	2
6.77	5.44	2
6.4	6.04	2
6.52	5.4	2
7.62	6.3	2
6.35	5.77	2
6.6	5.18	2
7.32	5.48	2
7	5.6	2
7.55	5.87	2
5.51	5.22	2
6.92	5.65	2
7.15	6.25	2
6.53	5.7	2
6.23	5.62	2
5.81	5.12	2
6.53	5.72	2
6.93	5.62	2
7.09	5.13	2
7.06	5.78	2
5.77	6.5	2
7	5.4	2
6.54    5.24	2
6.88	5.82	2
6.45	5.84	2
5.77	5.12	2
6.84	5.78	2
8.07	4.95	2
6.52	5.81	2
7.94	5.67	2
5.75	5.53	2
7.04	5.02	2
6.51	5.37	2
7.16	5.79	2
6.83	6.38	2
6.04	6.03	2
6.3	5.37	2
6.26	5.36	2
5.92	5.27	2
7.28	5.97	2
5.59	5.62	2
6.66	6.07	2
6.34	6.4 2
6.45	5.79	2
5.33	6.04	2
6.84	5.61	2
6.76	4.79	2
6.1	5.47	2
6.73	5	2
6.25	5.55	2
6.9	5.85	2
6.49	5.45	2
5.76	6.48	2
6.84	5.12	2
6.95	6.48	2
6.08	5.35	2
6.9	5.31	2
6.55	5.89	2
7.01	5.53	2
6.64	5.67	2
6.85	5.4	2
7.05	5.92	2
7.58	6.85	2
7.04	5.03	2
