f3	f4	class label
3.74	1.17	1
3.95	1.02	1
4.64	1.02	1
3.67	1.24	1
3.85	1.37	1
3.49	1.02	1
4.11	1.52	1
4.16	0.95	1
4.39	1.68	1
4.13	1.32	1
4.71	0.71	1
4.7	1.33	1
3.77	1.32	1
4.42	1.39	1
3.53	1	1
4.19	1.39	1
4.21	1.07	1
4.15	1.59	1
4.39	1.4	1
4.12	1.34	1
4.63	1.34	1
4.24	1.02	1
3.88	1.05	1
4.2	1.54	1
4.37	1.34	1
4.62	1.48	1
4	1.02	1
3.57	1.31	1
4.91	1.3	1
3.47	1.07	1
4.66	1.15	1
3.78	1.36	1
4.53	1.46	1
3.54	0.93	1
4.27	1.49	1
3.71	1.25	1
4.11	1.23	1
4.29	1.38	1
4.19	1.25	1
4	1.39	1
4.77	1.26	1
4.31	1.27	1
4.36	1.35	1
4.48	1.34	1
3.4	1.37	1
4.36	1.21	1
4.29	1.2	1
4.71	1.42	1
4.47	1.35	1
3.67	1.46	1
4.2	1.48	1
4.06	1.16	1
4.53	1.07	1
4.09	1.67	1
4.22	1.28	1
3.94	0.92	1
4.29	1.38	1
4.35	1.35	1
4.58	1.08	1
4.24	0.98	1
4.01	1.34	1
4.68	1.13	1
5.1	1.61	1
4.43	1.25	1
4.21	1.34	1
4.89	1.48	1
3.92	1.22	1
3.87	1.24	1
4.14	1.41	1
3.28	0.89	1
4.44	1.34	1
4.38	1.33	1
3.58	1.55	1
4.08	1.23	1
4.64	1.3	1
4.1	1.25	1
4.59	0.89	1
3.93	1.37	1
4.4	1.21	1
4.3	1.49	1
4.17	1	1
4.42	1.33	1
4.24	1.41	1
3.58	1.09	1
4.41	1.24	1
4.33	1.59	1
4.25	1.52	1
4.33	1.13	1
4.63	1.29	1
3.49	1.25	1
4.91	1.52	1
4.52	1.47	1
3.93	1.45	1
5.16	1.49	1
4.18	1.61	1
4.1	1.59	1
4.32	1.5	1
3.74	1.68	1
4.33	1.26	1
4.94	1.38	1
5.86	2.01	2
5.82	2.35	2
5.52	2.12	2
5.04	2.35	2
6.06	2.15	2
5.68	2.1	2
4.96	1.87	2
6.09	2.05	2
5.45	2.24	2
5.59	1.96	2
5.39	2.43	2
4.67	2.17	2
5.77	1.59	2
6.23	2.2	2
5.79	2.72	2
6.21	2.32	2
5.78	2.36	2
4.44	1.41	2
5.33	2.19	2
5.54	2.33	2
5.99	2.24	2
6.12	2.28	2
6.1	1.66	2
5.06	1.95	2
5.98	1.83	2
5.68	1.87	2
5.45	1.81	2
5.57	2.04	2
5.22	2.02	2
5.45	2.13	2
5.34	2.12	2
5.77	1.87	2
5.42	2.21	2
5.76	1.82	2
6.03	2.48	2
5.55	2.15	2
4.88	1.67	2
5.44	2.11	2
6.04	1.88	2
5.4	2.13	2
6.3	2.16	2
5.77	2.54	2
5.18	2.02	2
5.48	2.1	2
5.6	1.84	2
5.87	2.37	2
5.22	1.96	2
5.65	2.1	2
6.25	2.24	2
5.7	2.28	2
5.62	1.77	2
5.12	2.01	2
5.72	2.03	2
5.62	2.58	2
5.13	2.09	2
5.78	2	2
6.5	2.3	2
5.4	1.79	2
5.24	1.71	2
5.82	2.17	2
5.84	1.6	2
5.12	1.82	2
5.78	2.17	2
4.95	2.26	2
5.81	1.83	2
5.67	1.98	2
5.53	2.42	2
5.02	2.29	2
5.37	2.23	2
5.79	1.99	2
6.38	2.35	2
6.03	2.25	2
5.37	2.22	2
5.36	1.64	2
5.27	2	2
5.97	1.74	2
5.62	1.9	2
6.07	1.9	2
6.4 2.26	2
5.79	2.04	2
6.04	2.27	2
5.61	2.08	2
4.79	2.06	2
5.47	1.37	2
5   1.83	2
5.55	2.59	2
5.85	2.01	2
5.45	1.83	2
6.48	1.89	2
5.12	1.48	2
6.48	2.17	2
5.35	1.78	2
5.31	1.99	2
5.89	2.33	2
5.53	2.43	2
5.67	1.53	2
5.4	2.47	2
5.92	2.3	2
6.85	1.69	2
5.03	1.26	2
