f1	f3	f4	class label
5.91	3.74	1.17	1
6.94	3.95	1.02	1
5.73	4.64	1.02	1
6.14	3.67	1.24	1
5.42	3.85	1.37	1
5.03	3.49	1.02	1
5.38	4.11	1.52	1
6.77	4.16	0.95	1
6.7	4.39	1.68	1
6.73	4.13	1.32	1
5.83	4.71	0.71	1
6.02	4.7	1.33	1
7.33	3.77	1.32	1
5.87	4.42	1.39	1
6.41	3.53	1	1
6.38	4.19	1.39	1
7.39	4.21	1.07	1
6.16	4.15	1.59	1
6.59	4.39	1.4	1
6.76	4.12	1.34	1
7.07	4.63	1.34	1
6.58	4.24	1.02	1
5.46	3.88	1.05	1
6.02	4.2	1.54	1
6.28	4.37	1.34	1
7.4	4.62	1.48	1
6.24	4	1.02	1
6.62	3.57	1.31	1
5.77	4.91	1.3	1
6.72	3.47	1.07	1
6.85	4.66	1.15	1
6.16	3.78	1.36	1
6.45	4.53	1.46	1
6.66	3.54	0.93	1
5.86	4.27	1.49	1
5.99	3.71	1.25	1
6.09	4.11	1.23	1
5.37	4.29	1.38	1
5.42	4.19	1.25	1
6.84	4	1.39	1
6.56	4.77	1.26	1
6.56	4.31	1.27	1
6.05	4.36	1.35	1
7.53	4.48	1.34	1
6	3.4	1.37	1
6.96	4.36	1.21	1
6.35	4.29	1.2	1
7.07	4.71	1.42	1
6.06	4.47	1.35	1
5.26	3.67	1.46	1
6.31	4.2	1.48	1
6.73	4.06	1.16	1
6.71	4.53	1.07	1
5.77	4.09	1.67	1
6.25	4.22	1.28	1
7.13	3.94	0.92	1
6.9	4.29	1.38	1
5.33	4.35	1.35	1
6.44	4.58	1.08	1
6.83	4.24	0.98	1
5.81	4.01	1.34	1
7.56	4.68	1.13	1
6.72	5.1	1.61	1
6.07	4.43	1.25	1
6.24	4.21	1.34	1
6.31	4.89	1.48	1
6.31	3.92	1.22	1
7.29	3.87	1.24	1
6.07	4.14	1.41	1
6.49	3.28	0.89	1
6.64	4.44	1.34	1
5.85	4.38	1.33	1
6.51	3.58	1.55	1
6.14	4.08	1.23	1
6.55	4.64	1.3	1
6.58	4.1	1.25	1
5.6	4.59	0.89	1
5.77	3.93	1.37	1
7.53	4.4	1.21	1
6.72	4.3	1.49	1
6.5	4.17	1	1
5.9	4.42	1.33	1
6.11	4.24	1.41	1
6.93	3.58	1.09	1
6.2	4.41	1.24	1
6.76	4.33	1.59	1
6.29	4.25	1.52	1
6.17	4.33	1.13	1
6.88	4.63	1.29	1
5.86	3.49	1.25	1
6.02	4.91	1.52	1
7.1	4.52	1.47	1
5.67	3.93	1.45	1
5.65	5.16	1.49	1
5.9	4.18	1.61	1
5.7	4.1	1.59	1
6.76	4.32	1.5	1
6.61	3.74	1.68	1
6.55	4.33	1.26	1
6.58	4.94	1.38	1
7.47	5.86	2.01	2
6.11	5.82	2.35	2
6.23	5.52	2.12	2
6.16	5.04	2.35	2
6.21	6.06	2.15	2
6.57	5.68	2.1	2
5.81	4.96	1.87	2
5.88	6.09	2.05	2
7.61	5.45	2.24	2
6.77	5.59	1.96	2
6.69	5.39	2.43	2
7.53	4.67	2.17	2
6.29	5.77	1.59	2
5.38	6.23	2.2	2
5.35	5.79	2.72	2
5.94	6.21	2.32	2
7.77	5.78	2.36	2
6.31	4.44	1.41	2
7.28	5.33	2.19	2
5.87	5.54	2.33	2
7.01	5.99	2.24	2
6.21	6.12	2.28	2
6.35	6.1	1.66	2
5.52	5.06	1.95	2
6.69	5.98	1.83	2
6.51	5.68	1.87	2
7.14	5.45	1.81	2
7.21	5.57	2.04	2
5.47	5.22	2.02	2
7.74	5.45	2.13	2
6.38	5.34	2.12	2
6.67	5.77	1.87	2
6.52	5.42	2.21	2
6.62	5.76	1.82	2
6.24	6.03	2.48	2
6.72	5.55	2.15	2
7.46	4.88	1.67	2
6.77	5.44	2.11	2
6.4	6.04	1.88	2
6.52	5.4	2.13	2
7.62	6.3	2.16	2
6.35	5.77	2.54	2
6.6	5.18	2.02	2
7.32	5.48	2.1	2
7	5.6	1.84	2
7.55	5.87	2.37	2
5.51	5.22	1.96	2
6.92	5.65	2.1	2
7.15	6.25	2.24	2
6.53	5.7	2.28	2
6.23	5.62	1.77	2
5.81	5.12	2.01	2
6.53	5.72	2.03	2
6.93	5.62	2.58	2
7.09	5.13	2.09	2
7.06	5.78	2	2
5.77	6.5	2.3	2
7	5.4	1.79	2
6.54	5.24	1.71	2
6.88	5.82	2.17	2
6.45	5.84	1.6	2
5.77	5.12	1.82	2
6.84	5.78	2.17	2
8.07	4.95	2.26	2
6.52	5.81	1.83	2
7.94	5.67	1.98	2
5.75	5.53	2.42	2
7.04	5.02	2.29	2
6.51	5.37	2.23	2
7.16	5.79	1.99	2
6.83	6.38	2.35	2
6.04	6.03	2.25	2
6.3	5.37	2.22	2
6.26	5.36	1.64	2
5.92	5.27	2	2
7.28	5.97	1.74	2
5.59	5.62	1.9	2
6.66	6.07	1.9	2
6.34	6.4	2.26	2
6.45	5.79	2.04	2
5.33	6.04	2.27	2
6.84	5.61	2.08	2
6.76	4.79	2.06	2
6.1	5.47	1.37	2
6.73	5	1.83	2
6.25	5.55	2.59	2
6.9	5.85	2.01	2
6.49	5.45	1.83	2
5.76	6.48	1.89	2
6.84	5.12	1.48	2
6.95	6.48	2.17	2
6.08	5.35	1.78	2
6.9	5.31	1.99	2
6.55	5.89	2.33	2
7.01	5.53	2.43	2
6.64	5.67	1.53	2
6.85	5.4	2.47	2
7.05	5.92	2.3	2
7.58	6.85	1.69	2
7.04	5.03	1.26	2
