f1	f2	f3	class label
5.91	3.09	3.74	1
6.94	2.39	3.95	1
5.73	2.75	4.64	1
6.14	3.32	3.67	1
5.42	2.93	3.85	1
5.03	2.84	3.49	1
5.38	3.16	4.11	1
6.77	2.66	4.16	1
6.7	3.44	4.39	1
6.73	3.33	4.13	1
5.83	2.87	4.71	1
6.02	3.38	4.7	1
7.33	3.09	3.77	1
5.87	2.81	4.42	1
6.41	3.1	3.53	1
6.38	2.61	4.19	1
7.39	3.05	4.21	1
6.16	3.46	4.15	1
6.59	2.84	4.39	1
6.76	2.82	4.12	1
7.07	2.76	4.63	1
6.58	3.12	4.24	1
5.46	2.41	3.88	1
6.02	2.93	4.2	1
6.28	2.83	4.37	1
7.4	3	4.62	1
6.24	2.93	4	1
6.62	2.54	3.57	1
5.77	2.52	4.91	1
6.72	2.74	3.47	1
6.85	3.01	4.66	1
6.16	3.1	3.78	1
6.45	3.07	4.53	1
6.66	3.13	3.54	1
5.86	3.23	4.27	1
5.99	3.53	3.71	1
6.09	2.68	4.11	1
5.37	3.19	4.29	1
5.42	3.38	4.19	1
6.84	3.13	4	1
6.56	3.04	4.77	1
6.56	2.95	4.31	1
6.05	3.32	4.36	1
7.53	3.17	4.48	1
6	2.34	3.4	1
6.96	2.91	4.36	1
6.35	2.93	4.29	1
7.07	2.73	4.71	1
6.06	3.17	4.47	1
5.26	2.96	3.67	1
6.31	2.59	4.2	1
6.73	2.62	4.06	1
6.71	2.89	4.53	1
5.77	2.6	4.09	1
6.25	2.89	4.22	1
7.13	2.74	3.94	1
6.9	2.95	4.29	1
5.33	2.72	4.35	1
6.44	2.94	4.58	1
6.83	2.56	4.24	1
5.81	3.36	4.01	1
7.56	3.14	4.68	1
6.72	3.42	5.1	1
6.07	3.08	4.43	1
6.24	3	4.21	1
6.31	2.79	4.89	1
6.31	2.82	3.92	1
7.29	3.15	3.87	1
6.07	2.87	4.14	1
6.49	3.04	3.28	1
6.64	2.88	4.44	1
5.85	3.39	4.38	1
6.51	2.89	3.58	1
6.14	2.61	4.08	1
6.55	2.22	4.64	1
6.58	3.14	4.1	1
5.6	2.81	4.59	1
5.77	3.09	3.93	1
7.53	2.24	4.4	1
6.72	2.02	4.3	1
6.5	3.06	4.17	1
5.9	2.51	4.42	1
6.11	3.04	4.24	1
6.93	2.35	3.58	1
6.2	2.79	4.41	1
6.76	3.04	4.33	1
6.29	2.49	4.25	1
6.17	3.65	4.33	1
6.88	2.65	4.63	1
5.86	3.64	3.49	1
6.02	1.87	4.91	1
7.1	3.49	4.52	1
5.67	2.99	3.93	1
5.65	2.89	5.16	1
5.9	3.27	4.18	1
5.7	3.34	4.1	1
6.76	2.75	4.32	1
6.61	2.6	3.74	1
6.55	2.64	4.33	1
6.58	2.96	4.94	1
7.47	2.94	5.86	2
6.11	3.44	5.82	2
6.23	2.9	5.52	2
6.16	3.41	5.04	2
6.21	2.26	6.06	2
6.57	3.49	5.68	2
5.81	2.94	4.96	2
5.88	2.49	6.09	2
7.61	2.75	5.45	2
6.77	2.92	5.59	2
6.69	3.01	5.39	2
7.53	2.74	4.67	2
6.29	3.22	5.77	2
5.38	2.95	6.23	2
5.35	2.76	5.79	2
5.94	3.02	6.21	2
7.77	2.64	5.78	2
6.31	2.43	4.44	2
7.28	3.24	5.33	2
5.87	2.44	5.54	2
7.01	3.02	5.99	2
6.21	3.25	6.12	2
6.35	3.16	6.1	2
5.52	2.63	5.06	2
6.69	2.72	5.98	2
6.51	2.97	5.68	2
7.14	3	5.45	2
7.21	2.9	5.57	2
5.47	3.32	5.22	2
7.74	2.41	5.45	2
6.38	2.44	5.34	2
6.67	2.99	5.77	2
6.52	2.33	5.42	2
6.62	3.27	5.76	2
6.24	3.06	6.03	2
6.72	3.18	5.55	2
7.46	3.17	4.88	2
6.77	2.56	5.44	2
6.4	2.97	6.04	2
6.52	2.74	5.4	2
7.62	3.25	6.3	2
6.35	2.52	5.77	2
6.6	2.79	5.18	2
7.32	3.67	5.48	2
7	2.84	5.6	2
7.55	3.08	5.87	2
5.51	2.4	5.22	2
6.92	3.04	5.65	2
7.15	2.54	6.25	2
6.53	3.06	5.7	2
6.23	3.15	5.62	2
5.81	3.14	5.12	2
6.53	2.77	5.72	2
6.93	3.25	5.62	2
7.09	2.89	5.13	2
7.06	2.83	5.78	2
5.77	3.18	6.5	2
7	3.5	5.4	2
6.54	2.63	5.24	2
6.88	3.03	5.82	2
6.45	2.71	5.84	2
5.77	2.93	5.12	2
6.84	2.7	5.78	2
8.07	2.39	4.95	2
6.52	2.58	5.81	2
7.94	3.17	5.67	2
5.75	2.18	5.53	2
7.04	2.71	5.02	2
6.51	2.86	5.37	2
7.16	2.98	5.79	2
6.83	2.59	6.38	2
6.04	3.21	6.03	2
6.3	3.34	5.37	2
6.26	2.72	5.36	2
5.92	2.9	5.27	2
7.28	3.22	5.97	2
5.59	2.99	5.62	2
6.66	2.83	6.07	2
6.34	3.25	6.4	2
6.45	2.77	5.79	2
5.33	2.98	6.04	2
6.84	2.44	5.61	2
6.76	2.38	4.79	2
6.1	2.72	5.47	2
6.73	2.86	5	2
6.25	3.08	5.55	2
6.9	3.29	5.85	2
6.49	2.78	5.45	2
5.76	2.79	6.48	2
6.84	2.93	5.12	2
6.95	3.27	6.48	2
6.08	2.85	5.35	2
6.9	3.14	5.31	2
6.55	3.14	5.89	2
7.01	2.93	5.53	2
6.64	2.96	5.67	2
6.85	2.81	5.4	2
7.05	2.34	5.92	2
7.58	2.32	6.85	2
7.04	3.57	5.03	2
